round,algorithm,alpha,seed,test_acc,test_loss,selected,mean_contribution,round_time_s,sel_time_s,agg_time_s,mean_client_train_s,cum_up_bytes,cum_down_bytes,peak_gpu_gb,class0_acc,class1_acc,class2_acc,class3_acc,class4_acc,class5_acc,class6_acc,class7_acc,class8_acc,class9_acc
50,EAHM-FL,0.1,42,0.2501,2.546704955673218,"7,3,9",1.2887544445524577,6.278321266174316,0.0001206398010253,0.0103936195373535,0.9521748224894204,400306800.0,400306800.0,0.218367488,0.282,0.991,0.126,0.0,0.0,0.24,0.848,0.014,0.0,0.0
50,EAHM-FL,0.1,43,0.3024,2.8811157028198244,"3,2,6",1.0531086578525766,9.962192058563232,0.0001397132873535,0.0110368728637695,1.7551472187042236,400306800.0,400306800.0,0.218367488,0.006,0.0,0.368,0.0,0.05,0.022,0.967,0.0,0.855,0.756
50,EAHM-FL,0.1,44,0.3823,2.1720169403076173,"1,8,6",0.745254312682814,17.810428142547607,0.0001165866851806,0.0111362934112548,3.45523993174235,400306800.0,400306800.0,0.218367488,0.012,0.94,0.0,0.098,0.893,0.217,0.828,0.449,0.386,0.0
50,EAHM-FL,0.1,45,0.5307,1.2708017654418946,"3,5,8",0.5141360288230845,10.073766231536863,8.940696716308594e-05,0.0108098983764648,1.7789112726847331,400306800.0,400306800.0,0.218367488,0.567,0.271,0.387,0.901,0.216,0.0,0.683,0.649,0.9,0.733
50,EAHM-FL,0.1,46,0.4012,1.8321929588317871,"1,7,4",0.8551116105079473,11.929414749145508,0.0001018047332763,0.0115160942077636,2.1729323863983154,400306800.0,400306800.0,0.218367488,0.782,0.902,0.57,0.623,0.055,0.345,0.0,0.732,0.0,0.003
50,EAHM-FL,0.3,42,0.489,1.2871197988510132,"0,2,5",0.9100816160379755,9.831390857696531,0.0001387596130371,0.0107746124267578,1.744261105855306,400306800.0,400306800.0,0.218367488,0.417,0.881,0.328,0.931,0.54,0.07,0.188,0.382,0.345,0.808
50,EAHM-FL,0.3,43,0.582,1.1934373043060302,"8,0,6",0.5390092921120424,9.69710373878479,7.700920104980469e-05,0.0106153488159179,1.7017181714375813,400306800.0,400306800.0,0.218367488,0.102,0.982,0.621,0.191,0.614,0.474,0.962,0.512,0.757,0.605
50,EAHM-FL,0.3,44,0.5323,1.3667251426696778,"6,4,5",0.4551108313494003,9.511169910430908,9.989738464355467e-05,0.0099153518676757,1.714547634124756,400306800.0,400306800.0,0.218367488,0.38,0.834,0.725,0.804,0.154,0.0,0.836,0.503,0.377,0.71
50,EAHM-FL,0.3,45,0.6831,0.8951554707527161,"4,5,1",0.402856266290341,14.397598266601562,0.0001368522644042,0.0100901126861572,2.72281543413798,400306800.0,400306800.0,0.218367488,0.61,0.894,0.636,0.704,0.619,0.0,0.836,0.79,0.822,0.92
50,EAHM-FL,0.3,46,0.6152,1.0816934973716736,"1,5,3",1.4138316202307442,11.206020832061768,0.0001144409179687,0.0100684165954589,2.0013174215952554,400306800.0,400306800.0,0.218367488,0.873,0.675,0.098,0.356,0.343,0.394,0.97,0.821,0.715,0.907
50,EAHM-FL,0.5,42,0.6649,0.9082848643302918,"7,6,5",0.5142694789497063,14.93012285232544,8.940696716308594e-05,0.0097620487213134,2.8840854167938232,400306800.0,400306800.0,0.218367488,0.684,0.942,0.625,0.285,0.429,0.779,0.91,0.794,0.644,0.557
50,EAHM-FL,0.5,43,0.6343,1.0233778623580934,"0,5,6",0.2424117034363823,14.273096323013306,0.0001001358032226,0.0103724002838134,2.720951636632284,400306800.0,400306800.0,0.218367488,0.701,0.655,0.705,0.498,0.693,0.067,0.933,0.414,0.785,0.892
