round,algorithm,alpha,seed,test_acc,test_loss,selected,mean_contribution,round_time_s,sel_time_s,agg_time_s,mean_client_train_s,cum_up_bytes,cum_down_bytes,peak_gpu_gb,class0_acc,class1_acc,class2_acc,class3_acc,class4_acc,class5_acc,class6_acc,class7_acc,class8_acc,class9_acc
1,EAHM-FL-no_selection,0.5,42,0.1199,2.2901542823791505,"8,1,5",1.0205022080816495,12.746625185012817,7.104873657226562e-05,0.008587121963500977,2.4130618572235107,8006136.0,8006136.0,0.215689216,0.019,0.0,0.0,0.0,0.982,0.0,0.0,0.0,0.198,0.0
2,EAHM-FL-no_selection,0.5,42,0.1636,2.120440028381348,"0,1,8",0.8722840185192035,12.370380163192749,0.00015473365783691406,0.008870363235473633,2.313218434651693,16012272.0,16012272.0,0.218367488,0.375,0.033,0.0,0.0,0.958,0.0,0.008,0.0,0.176,0.086
3,EAHM-FL-no_selection,0.5,42,0.2817,2.012961841392517,"9,2,0",1.0305794501767365,14.009868621826172,0.0001659393310546875,0.008607149124145508,2.682823657989502,24018408.0,24018408.0,0.218367488,0.066,0.0,0.658,0.576,0.0,0.0,0.0,0.0,0.769,0.748
4,EAHM-FL-no_selection,0.5,42,0.284,1.9164865854263307,"1,7,6",1.4781956561788316,15.806306600570679,0.0001671314239501953,0.008878469467163086,3.0525755882263184,32024544.0,32024544.0,0.218367488,0.252,0.008,0.0,0.0,0.125,0.014,0.855,0.75,0.712,0.124
5,EAHM-FL-no_selection,0.5,42,0.2326,2.086820373916626,"1,5,4",1.071678137415784,14.797598838806152,0.00012040138244628906,0.010511398315429688,2.8472865422566733,40030680.0,40030680.0,0.218367488,0.491,0.011,0.907,0.001,0.0,0.057,0.016,0.0,0.519,0.324
6,EAHM-FL-no_selection,0.5,42,0.2976,1.806492515182495,"8,2,5",1.1838902168402183,10.34413194656372,0.00011157989501953125,0.009660959243774414,1.8776663939158122,48036816.0,48036816.0,0.218367488,0.53,0.86,0.07,0.574,0.746,0.047,0.146,0.0,0.003,0.0
7,EAHM-FL-no_selection,0.5,42,0.2983,1.8197927778244019,"0,5,2",0.8148620426636448,10.54766035079956,0.00012493133544921875,0.010923385620117188,1.896093765894572,56042952.0,56042952.0,0.218367488,0.447,0.743,0.281,0.857,0.382,0.069,0.015,0.101,0.0,0.088
8,EAHM-FL-no_selection,0.5,42,0.332,1.863826340866089,"4,8,1",0.9329805636040788,14.35792350769043,0.00011014938354492188,0.009636640548706055,2.7581605116526284,64049088.0,64049088.0,0.218367488,0.524,0.0,0.425,0.0,0.154,0.303,0.787,0.028,0.811,0.288
9,EAHM-FL-no_selection,0.5,42,0.3125,1.7585685781478881,"2,0,4",0.9420859476748366,12.34394884109497,0.000118255615234375,0.010279178619384766,2.2795942624409995,72055224.0,72055224.0,0.218367488,0.469,0.026,0.446,0.004,0.299,0.742,0.148,0.168,0.023,0.8
10,EAHM-FL-no_selection,0.5,42,0.3436,1.7902676219940186,"4,2,7",0.9339500988920332,12.871433973312378,0.00011396408081054688,0.009749174118041992,2.390242258707682,80061360.0,80061360.0,0.218367488,0.333,0.576,0.852,0.0,0.0,0.417,0.371,0.066,0.821,0.0
11,EAHM-FL-no_selection,0.5,42,0.2831,1.8624353677749634,"5,2,7",0.9980260662771635,10.985594987869263,0.00017762184143066406,0.010107994079589844,2.0191588401794434,88067496.0,88067496.0,0.218367488,0.295,0.91,0.889,0.254,0.0,0.31,0.153,0.004,0.016,0.0
12,EAHM-FL-no_selection,0.5,42,0.3273,1.901656099319458,"1,5,2",0.6471321905826003,12.081165075302124,0.0001239776611328125,0.009808063507080078,2.269596497217814,96073632.0,96073632.0,0.218367488,0.522,0.787,0.149,0.011,0.921,0.004,0.398,0.001,0.48,0.0
13,EAHM-FL-no_selection,0.5,42,0.3736,1.6979051572799682,"3,1,4",0.643753323310154,14.05114221572876,0.00017261505126953125,0.010198831558227539,2.6735476652781167,104079768.0,104079768.0,0.218367488,0.847,0.211,0.456,0.01,0.016,0.347,0.875,0.121,0.528,0.325
14,EAHM-FL-no_selection,0.5,42,0.3633,1.707799236869812,"2,4,5",0.9086432937289333,12.674062252044678,0.00011348724365234375,0.009774208068847656,2.388442277908325,112085904.0,112085904.0,0.218367488,0.503,0.805,0.816,0.298,0.0,0.5,0.242,0.0,0.259,0.21
15,EAHM-FL-no_selection,0.5,42,0.3878,1.632656464767456,"7,0,1",1.0120720793243116,12.670134782791138,0.0001590251922607422,0.010231494903564453,2.3665459156036377,120092040.0,120092040.0,0.218367488,0.479,0.791,0.047,0.0,0.905,0.0,0.385,0.445,0.703,0.123
16,EAHM-FL-no_selection,0.5,42,0.4276,1.5936821018218994,"6,1,3",0.626806864005402,15.10509991645813,0.00011563301086425781,0.009490966796875,2.878843307495117,128098176.0,128098176.0,0.218367488,0.699,0.006,0.077,0.026,0.148,0.616,0.96,0.669,0.355,0.72
17,EAHM-FL-no_selection,0.5,42,0.3928,1.7479147583007812,"4,7,8",0.8207911894749819,13.47070574760437,0.0001270771026611328,0.010175943374633789,2.5460344155629477,136104312.0,136104312.0,0.218367488,0.535,0.497,0.53,0.0,0.0,0.857,0.534,0.107,0.853,0.015
