round,algorithm,alpha,seed,test_acc,test_loss,selected,mean_contribution,round_time_s,sel_time_s,agg_time_s,mean_client_train_s,cum_up_bytes,cum_down_bytes,peak_gpu_gb,class0_acc,class1_acc,class2_acc,class3_acc,class4_acc,class5_acc,class6_acc,class7_acc,class8_acc,class9_acc
1,EAHM-FL-no_weighting,0.1,44,0.1287,2.6164957984924317,"2,7,9",1.650086967516092,11.68673849105835,7.534027099609375e-05,0.008833885192871094,2.134958028793335,8006136.0,8006136.0,0.215689216,0.348,0.0,0.939,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,EAHM-FL-no_weighting,0.1,44,0.115,3.3854048320770262,"0,5,2",1.4399586047245563,11.428406953811646,0.0001614093780517578,0.008514165878295898,2.101867437362671,16012272.0,16012272.0,0.218367488,0.0,0.0,0.991,0.0,0.0,0.0,0.159,0.0,0.0,0.0
3,EAHM-FL-no_weighting,0.1,44,0.1118,2.53235170211792,"2,7,8",2.7949516143193143,11.425387382507324,0.00010371208190917969,0.009144783020019531,2.0801803270975747,24018408.0,24018408.0,0.218367488,0.08,0.0,0.981,0.0,0.013,0.0,0.044,0.0,0.0,0.0
4,EAHM-FL-no_weighting,0.1,44,0.102,2.5961928661346434,"9,7,6",2.3210660941854937,11.982284545898438,0.0001392364501953125,0.009163856506347656,2.19818377494812,32024544.0,32024544.0,0.218367488,0.02,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5,EAHM-FL-no_weighting,0.1,44,0.2289,2.1244726974487307,"1,4,3",2.1307183781512715,21.15928053855896,8.821487426757812e-05,0.009573221206665039,4.190578460693359,40030680.0,40030680.0,0.218367488,0.587,0.141,0.0,0.0,0.0,0.0,0.764,0.719,0.062,0.016
6,EAHM-FL-no_weighting,0.1,44,0.133,2.4108414630889894,"7,6,8",1.9013422186385716,11.583578109741211,9.799003601074219e-05,0.009159564971923828,2.1165059407552085,48036816.0,48036816.0,0.218367488,0.0,0.0,0.0,0.0,0.564,0.766,0.0,0.0,0.0,0.0
7,EAHM-FL-no_weighting,0.1,44,0.1233,2.3918692203521728,"7,6,8",1.2158307318132864,11.447711706161499,0.00018286705017089844,0.008958101272583008,2.0852742195129395,56042952.0,56042952.0,0.218367488,0.0,0.0,0.0,0.0,0.841,0.392,0.0,0.0,0.0,0.0
8,EAHM-FL-no_weighting,0.1,44,0.1713,3.7292443649291993,"1,7,8",1.6432740943230684,13.731201171875,0.0002608299255371094,0.008506298065185547,2.5470329920450845,64049088.0,64049088.0,0.218367488,0.0,0.485,0.0,0.0,0.986,0.0,0.183,0.059,0.0,0.0
9,EAHM-FL-no_weighting,0.1,44,0.2385,2.8909435569763184,"7,1,8",2.1016156110310926,14.059679985046387,0.0002143383026123047,0.008461475372314453,2.6579991976420083,72055224.0,72055224.0,0.218367488,0.0,0.739,0.0,0.0,0.91,0.0,0.528,0.208,0.0,0.0
10,EAHM-FL-no_weighting,0.1,44,0.0976,3.6150540699005127,"0,6,7",3.6774411088823986,9.294013977050781,8.58306884765625e-05,0.009193181991577148,1.615287144978841,80061360.0,80061360.0,0.218367488,0.0,0.0,0.0,0.09,0.0,0.886,0.0,0.0,0.0,0.0
11,EAHM-FL-no_weighting,0.1,44,0.0996,3.456179734039307,"0,6,7",1.3134225916385807,9.418874263763428,0.0002148151397705078,0.011002063751220703,1.6486551761627197,88067496.0,88067496.0,0.218367488,0.0,0.0,0.0,0.991,0.0,0.005,0.0,0.0,0.0,0.0
12,EAHM-FL-no_weighting,0.1,44,0.1175,3.4530290016174314,"0,6,7",1.1235777477120186,9.475823402404785,9.393692016601562e-05,0.008945703506469727,1.6332090695699055,96073632.0,96073632.0,0.218367488,0.0,0.0,0.0,0.557,0.0,0.616,0.0,0.0,0.001,0.001
13,EAHM-FL-no_weighting,0.1,44,0.1188,3.438669229888916,"0,6,7",1.0556075486958338,9.364525079727173,9.465217590332031e-05,0.009449243545532227,1.6286497116088867,104079768.0,104079768.0,0.218367488,0.0,0.0,0.0,0.627,0.0,0.552,0.0,0.0,0.009,0.0
14,EAHM-FL-no_weighting,0.1,44,0.1275,3.3079552284240723,"6,0,7",0.9688382807289387,9.305290460586548,8.654594421386719e-05,0.009535789489746094,1.6300736268361409,112085904.0,112085904.0,0.218367488,0.0,0.0,0.0,0.461,0.0,0.727,0.0,0.0,0.087,0.0
15,EAHM-FL-no_weighting,0.1,44,0.1003,3.3303536682128905,"8,0,7",1.9913858509057942,8.325764894485474,0.00020813941955566406,0.00991058349609375,1.4144713083902996,120092040.0,120092040.0,0.218367488,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.003,0.0
16,EAHM-FL-no_weighting,0.1,44,0.2692,3.1814606300354002,"1,7,8",2.139996562215422,13.983758449554443,0.00010156631469726562,0.008588790893554688,2.6368517875671387,128098176.0,128098176.0,0.218367488,0.0,0.912,0.0,0.0,0.758,0.0,0.782,0.24,0.0,0.0
17,EAHM-FL-no_weighting,0.1,44,0.216,3.2169452919006347,"8,1,7",1.676595171623468,13.774411916732788,8.797645568847656e-05,0.008828878402709961,2.6105153560638428,136104312.0,136104312.0,0.218367488,0.0,0.64,0.0,0.0,0.963,0.0,0.45,0.107,0.0,0.0
18,EAHM-FL-no_weighting,0.1,44,0.2439,3.1888518486022948,"8,1,7",1.5840974934423848,13.815485954284668,8.702278137207031e-05,0.009000301361083984,2.622082551320394,144110448.0,144110448.0,0.218367488,0.0,0.822,0.0,0.0,0.965,0.0,0.503,0.149,0.0,0.0
19,EAHM-FL-no_weighting,0.1,44,0.299,2.739581072616577,"0,1,7",2.5126844957339514,11.626936435699463,9.989738464355469e-05,0.009000778198242188,2.090205272038778,152116584.0,152116584.0,0.218367488,0.0,0.96,0.0,0.0,0.467,0.0,0.962,0.601,0.0,0.0
20,EAHM-FL-no_weighting,0.1,44,0.1007,2.7706340393066404,"8,0,7",2.195985290879284,8.028135299682617,9.274482727050781e-05,0.008626461029052734,1.372591257095337,160122720.0,160122720.0,0.218367488,0.0,0.0,0.0,0.0,1.0,0.0,0.002,0.0,0.005,0.0
21,EAHM-FL-no_weighting,0.1,44,0.1011,4.154441897583008,"6,0,7",2.756388619417964,9.488360404968262,0.00013899803161621094,0.009389638900756836,1.6540196736653645,168128856.0,168128856.0,0.218367488,0.0,0.0,0.0,0.045,0.0,0.963,0.0,0.0,0.003,0.0
22,EAHM-FL-no_weighting,0.1,44,0.1269,2.9481371109008787,"0,6,7",1.464820599086673,9.509307622909546,0.00014138221740722656,0.009183645248413086,1.652685244878133,176134992.0,176134992.0,0.218367488,0.0,0.0,0.0,0.896,0.0,0.134,0.008,0.0,0.208,0.023
23,EAHM-FL-no_weighting,0.1,44,0.1286,3.8130077133178713,"6,0,7",0.8610101594881484,9.539191722869873,0.00022077560424804688,0.009189128875732422,1.6872754096984863,184141128.0,184141128.0,0.218367488,0.0,0.0,0.0,0.561,0.0,0.651,0.004,0.0,0.07,0.0
24,EAHM-FL-no_weighting,0.1,44,0.141,3.3135603633880617,"6,0,7",1.1188614567842716,9.50429368019104,0.00010585784912109375,0.009136199951171875,1.653028170267741,192147264.0,192147264.0,0.218367488,0.0,0.0,0.0,0.715,0.0,0.498,0.005,0.0,0.192,0.0
25,EAHM-FL-no_weighting,0.1,44,0.2129,3.907133821105957,"3,0,7",1.6265753907026845,13.190970182418823,9.226799011230469e-05,0.009393692016601562,2.44550093015035,200153400.0,200153400.0,0.218367488,0.366,0.0,0.0,0.018,0.0,0.0,0.0,0.0,0.881,0.864
26,EAHM-FL-no_weighting,0.1,44,0.2663,3.2208803829193116,"0,3,7",0.9808891344385612,13.552787065505981,0.00019788742065429688,0.00913381576538086,2.5059354305267334,208159536.0,208159536.0,0.218367488,0.551,0.0,0.0,0.431,0.0,0.0,0.0,0.0,0.938,0.743
27,EAHM-FL-no_weighting,0.1,44,0.1,3.0841937255859375,"8,0,7",2.0095997983167675,8.245550870895386,0.000179290771484375,0.008618354797363281,1.3820123672485352,216165672.0,216165672.0,0.218367488,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
28,EAHM-FL-no_weighting,0.1,44,0.1708,2.7394226722717283,"0,7,8",1.7121361688725072,8.128745794296265,0.00016164779663085938,0.008944511413574219,1.3798435529073079,224171808.0,224171808.0,0.218367488,0.0,0.0,0.0,0.128,0.91,0.0,0.377,0.0,0.209,0.084
29,EAHM-FL-no_weighting,0.1,44,0.1489,2.9993293586730956,"0,7,8",1.0334991429462668,8.126847743988037,0.0001049041748046875,0.008871316909790039,1.3561632633209229,232177944.0,232177944.0,0.218367488,0.0,0.0,0.0,0.0,0.999,0.0,0.001,0.0,0.472,0.017
30,EAHM-FL-no_weighting,0.1,44,0.2537,2.6073447010040285,"0,8,7",1.3789424477588959,8.103442430496216,0.00011801719665527344,0.009159326553344727,1.3450770378112793,240184080.0,240184080.0,0.218367488,0.0,0.0,0.0,0.68,0.414,0.0,0.397,0.0,0.679,0.367
31,EAHM-FL-no_weighting,0.1,44,0.1571,3.096205104827881,"8,0,7",0.8345484130153308,8.137407302856445,0.00010013580322265625,0.009330987930297852,1.3652915954589844,248190216.0,248190216.0,0.218367488,0.0,0.0,0.0,0.0,0.998,0.0,0.025,0.0,0.51,0.038
32,EAHM-FL-no_weighting,0.1,44,0.2832,3.1648772354125976,"3,0,7",1.980029173392797,13.06577205657959,0.0001747608184814453,0.009296894073486328,2.415591319402059,256196352.0,256196352.0,0.218367488,0.591,0.0,0.0,0.461,0.0,0.0,0.0,0.0,0.835,0.945
33,EAHM-FL-no_weighting,0.1,44,0.3026,3.104110065460205,"3,0,7",0.6621566664561828,13.188145160675049,0.00010132789611816406,0.008820533752441406,2.4772117932637534,264202488.0,264202488.0,0.218367488,0.565,0.0,0.0,0.661,0.0,0.0,0.0,0.0,0.942,0.858
34,EAHM-FL-no_weighting,0.1,44,0.3072,3.230126974487305,"1,0,7",2.3643219193551532,11.913743019104004,0.00011491775512695312,0.00901651382446289,2.1960736910502114,272208624.0,272208624.0,0.218367488,0.0,0.915,0.0,0.0,0.55,0.0,0.886,0.721,0.0,0.0
35,EAHM-FL-no_weighting,0.1,44,0.2149,2.90101549987793,"8,7,1",1.8407986593288468,14.155358076095581,0.00010395050048828125,0.00887155532836914,2.6631627877553306,280214760.0,280214760.0,0.218367488,0.0,0.702,0.0,0.0,0.989,0.0,0.309,0.149,0.0,0.0
36,EAHM-FL-no_weighting,0.1,44,0.2693,2.1746173961639403,"6,7,1",2.8909935434636522,15.450514793395996,0.00018978118896484375,0.009112834930419922,2.930366118748983,288220896.0,288220896.0,0.218367488,0.0,0.726,0.0,0.489,0.069,0.673,0.658,0.078,0.0,0.0
37,EAHM-FL-no_weighting,0.1,44,0.3136,2.4407527877807618,"1,7,6",1.050273987615136,15.516526460647583,8.559226989746094e-05,0.00915980339050293,2.9331792990366616,296227032.0,296227032.0,0.218367488,0.0,0.926,0.0,0.036,0.481,0.158,0.674,0.861,0.0,0.0
38,EAHM-FL-no_weighting,0.1,44,0.3253,2.3250778198242186,"1,6,7",1.6502746262856396,15.396416187286377,0.00011682510375976562,0.009604215621948242,2.896586815516154,304233168.0,304233168.0,0.218367488,0.0,0.77,0.0,0.219,0.623,0.389,0.858,0.394,0.0,0.0
39,EAHM-FL-no_weighting,0.1,44,0.3443,2.5475942680358887,"1,6,7",1.3838271478541122,15.424799680709839,0.0002493858337402344,0.009165525436401367,2.958383003870646,312239304.0,312239304.0,0.218367488,0.0,0.966,0.0,0.094,0.657,0.186,0.737,0.803,0.0,0.0
40,EAHM-FL-no_weighting,0.1,44,0.328,2.374768751525879,"1,6,7",1.6226780503442815,15.32404899597168,0.00010395050048828125,0.00909280776977539,2.873692591985067,320245440.0,320245440.0,0.218367488,0.0,0.802,0.0,0.186,0.627,0.338,0.893,0.434,0.0,0.0
41,EAHM-FL-no_weighting,0.1,44,0.1573,3.434055253601074,"0,6,7",1.8337502511132389,9.487560987472534,0.00012159347534179688,0.009595394134521484,1.6387325922648113,328251576.0,328251576.0,0.218367488,0.0,0.083,0.0,0.757,0.0,0.582,0.008,0.0,0.0,0.143
42,EAHM-FL-no_weighting,0.1,44,0.1753,3.0578106708526613,"0,6,7",1.1354451821899054,9.32943058013916,9.131431579589844e-05,0.009010791778564453,1.6201849778493245,336257712.0,336257712.0,0.218367488,0.0,0.032,0.0,0.906,0.011,0.378,0.005,0.0,0.02,0.401
43,EAHM-FL-no_weighting,0.1,44,0.1423,3.8339545845031737,"0,6,7",0.8456365313304692,9.484263896942139,0.00010919570922851562,0.009705543518066406,1.6384897232055664,344263848.0,344263848.0,0.218367488,0.0,0.003,0.0,0.98,0.0,0.158,0.0,0.0,0.06,0.222
44,EAHM-FL-no_weighting,0.1,44,0.1789,3.5563755867004394,"0,6,7",1.1777521215338191,9.41684603691101,8.893013000488281e-05,0.009057760238647461,1.660963773727417,352269984.0,352269984.0,0.218367488,0.0,0.0,0.0,0.844,0.0,0.591,0.0,0.0,0.048,0.306
45,EAHM-FL-no_weighting,0.1,44,0.188,3.465510103225708,"6,0,7",0.9155789736044303,9.543457984924316,8.749961853027344e-05,0.009321451187133789,1.675595998764038,360276120.0,360276120.0,0.218367488,0.0,0.0,0.0,0.945,0.001,0.367,0.001,0.0,0.112,0.454
46,EAHM-FL-no_weighting,0.1,44,0.1925,2.768854573059082,"0,8,7",1.9119276210366822,8.309512853622437,0.0002129077911376953,0.008888959884643555,1.3761821587880452,368282256.0,368282256.0,0.218367488,0.0,0.02,0.0,0.003,0.996,0.0,0.036,0.0,0.684,0.186
47,EAHM-FL-no_weighting,0.1,44,0.3231,2.171092529296875,"0,7,8",1.5947917592305643,8.43343448638916,9.059906005859375e-05,0.009407758712768555,1.405655304590861,376288392.0,376288392.0,0.218367488,0.0,0.0,0.0,0.599,0.698,0.0,0.552,0.0,0.794,0.588
48,EAHM-FL-no_weighting,0.1,44,0.2398,2.466500281524658,"0,8,7",0.6818080772286104,8.226094961166382,9.179115295410156e-05,0.009489297866821289,1.3676047325134277,384294528.0,384294528.0,0.218367488,0.0,0.0,0.0,0.034,0.995,0.0,0.119,0.0,0.749,0.501
49,EAHM-FL-no_weighting,0.1,44,0.3443,2.2337034996032714,"0,8,7",0.9753842276572362,8.18288779258728,8.58306884765625e-05,0.009442329406738281,1.3814179102579753,392300664.0,392300664.0,0.218367488,0.0,0.0,0.0,0.561,0.765,0.0,0.54,0.0,0.851,0.726
50,EAHM-FL-no_weighting,0.1,44,0.2811,2.518805366897583,"8,0,7",0.5603346406528084,8.117039442062378,9.751319885253906e-05,0.008767366409301758,1.352884848912557,400306800.0,400306800.0,0.218367488,0.0,0.0,0.0,0.112,0.985,0.0,0.351,0.0,0.824,0.539
