round,algorithm,alpha,seed,test_acc,test_loss,selected,mean_contribution,round_time_s,sel_time_s,agg_time_s,mean_client_train_s,cum_up_bytes,cum_down_bytes,peak_gpu_gb,class0_acc,class1_acc,class2_acc,class3_acc,class4_acc,class5_acc,class6_acc,class7_acc,class8_acc,class9_acc
1,EAHM-FL,0.3,42,0.1134,2.404485248565674,"8,1,5",1.3565566069446462,14.217249870300293,7.176399230957031e-05,0.008987188339233398,2.7005955378214517,8006136.0,8006136.0,0.215689216,0.0,0.0,0.0,0.0,0.989,0.0,0.0,0.0,0.145,0.0
2,EAHM-FL,0.3,42,0.1988,2.3398340423583983,"0,1,8",1.2913057264345287,13.857637643814087,0.00016951560974121094,0.008996009826660156,2.5984156926472983,16012272.0,16012272.0,0.218367488,0.0,0.0,0.0,0.0,0.933,0.0,0.0,0.0,0.779,0.276
3,EAHM-FL,0.3,42,0.2522,2.063290556716919,"9,2,0",1.3805862490153178,11.538127899169922,0.00015282630920410156,0.008533716201782227,2.1114559173583984,24018408.0,24018408.0,0.218367488,0.0,0.0,0.686,0.594,0.0,0.0,0.057,0.0,0.554,0.631
4,EAHM-FL,0.3,42,0.2065,2.1787342491149904,"1,7,6",1.657347092634364,16.365567207336426,0.00013518333435058594,0.009366989135742188,3.162816047668457,32024544.0,32024544.0,0.218367488,0.38,0.043,0.002,0.0,0.001,0.174,0.967,0.415,0.083,0.0
5,EAHM-FL,0.3,42,0.1805,2.4914015457153322,"1,4,3",1.266237605199574,14.18415904045105,0.003178119659423828,0.009889602661132812,2.7021843592325845,40030680.0,40030680.0,0.218367488,0.925,0.0,0.684,0.0,0.0,0.112,0.063,0.0,0.009,0.012
6,EAHM-FL,0.3,42,0.2667,2.142543811416626,"6,0,1",2.2504811953780597,14.585621356964111,9.417533874511719e-05,0.014180660247802734,2.785130023956299,48036816.0,48036816.0,0.218367488,0.591,0.001,0.0,0.0,0.049,0.585,0.616,0.821,0.0,0.004
7,EAHM-FL,0.3,42,0.2745,2.0534071781158447,"0,6,1",0.9492767474752631,14.780685901641846,8.988380432128906e-05,0.01034998893737793,2.8199559847513833,56042952.0,56042952.0,0.218367488,0.455,0.071,0.0,0.0,0.754,0.297,0.49,0.629,0.0,0.049
8,EAHM-FL,0.3,42,0.3105,2.0168717948913573,"6,0,1",0.8486892977885084,14.461771249771118,8.702278137207031e-05,0.010545492172241211,2.7679222424825034,64049088.0,64049088.0,0.218367488,0.62,0.036,0.0,0.0,0.561,0.47,0.561,0.818,0.0,0.039
9,EAHM-FL,0.3,42,0.3405,1.9424056003570556,"6,0,1",0.6956630105188394,14.501240491867065,7.987022399902344e-05,0.01090550422668457,2.757376035054525,72055224.0,72055224.0,0.218367488,0.538,0.078,0.0,0.0,0.453,0.739,0.739,0.729,0.0,0.129
10,EAHM-FL,0.3,42,0.3422,1.6683798458099366,"9,1,0",0.9790857436306686,13.496021509170532,9.560585021972656e-05,0.01015329360961914,2.533652146657308,80061360.0,80061360.0,0.218367488,0.353,0.002,0.587,0.017,0.1,0.574,0.753,0.1,0.094,0.842
11,EAHM-FL,0.3,42,0.3554,1.6456772300720215,"9,1,0",0.7337448346674735,13.390185832977295,0.0001704692840576172,0.01110696792602539,2.5285642941792807,88067496.0,88067496.0,0.218367488,0.492,0.123,0.015,0.011,0.909,0.233,0.622,0.36,0.0,0.789
12,EAHM-FL,0.3,42,0.3663,1.8524835453033448,"6,0,1",0.6520513353973739,14.59332823753357,9.274482727050781e-05,0.010241508483886719,2.8023746013641357,96073632.0,96073632.0,0.218367488,0.662,0.115,0.0,0.0,0.378,0.672,0.751,0.866,0.0,0.219
13,EAHM-FL,0.3,42,0.3822,1.7731423166275024,"6,0,1",0.6448337029122078,14.508108615875244,0.00018835067749023438,0.009968042373657227,2.793058395385742,104079768.0,104079768.0,0.218367488,0.608,0.05,0.0,0.0,0.75,0.604,0.77,0.531,0.0,0.509
14,EAHM-FL,0.3,42,0.3671,1.6188907287597656,"8,1,0",1.060785663039894,13.525629758834839,8.535385131835938e-05,0.010338783264160156,2.55896790822347,112085904.0,112085904.0,0.218367488,0.267,0.005,0.0,0.0,0.948,0.425,0.411,0.159,0.587,0.869
15,EAHM-FL,0.3,42,0.3845,1.7972415985107422,"3,0,8",0.617068390864453,11.741373777389526,8.487701416015625e-05,0.010213613510131836,2.175337314605713,120092040.0,120092040.0,0.218367488,0.035,0.0,0.0,0.0,0.717,0.698,0.573,0.322,0.517,0.983
16,EAHM-FL,0.3,42,0.4425,1.6331773136138916,"1,4,8",0.9200745666596163,16.869069814682007,9.179115295410156e-05,0.010663032531738281,3.282149155934652,128098176.0,128098176.0,0.218367488,0.711,0.0,0.282,0.0,0.475,0.814,0.742,0.203,0.552,0.646
17,EAHM-FL,0.3,42,0.4121,1.709036375808716,"2,8,4",0.9417157026596863,15.252897500991821,0.00010609626770019531,0.010410547256469727,2.961935599644979,136104312.0,136104312.0,0.218367488,0.063,0.005,0.001,0.0,0.561,0.869,0.759,0.046,0.907,0.91
18,EAHM-FL,0.3,42,0.4279,1.7945277477264405,"8,4,2",0.7713069780211844,14.771999835968018,8.225440979003906e-05,0.010367631912231445,2.803155024846395,144110448.0,144110448.0,0.218367488,0.319,0.017,0.338,0.0,0.148,0.864,0.837,0.009,0.891,0.856
19,EAHM-FL,0.3,42,0.5023,1.5530146621704102,"7,4,2",1.1347379680974687,14.344361305236816,8.487701416015625e-05,0.012165546417236328,2.7207695643107095,152116584.0,152116584.0,0.218367488,0.321,0.713,0.555,0.0,0.127,0.628,0.894,0.238,0.814,0.733
20,EAHM-FL,0.3,42,0.3908,1.6325101631164551,"5,7,2",1.3591282871551205,11.438616275787354,8.463859558105469e-05,0.010065078735351562,2.1083691914876304,160122720.0,160122720.0,0.218367488,0.164,0.955,0.811,0.214,0.138,0.554,0.549,0.115,0.391,0.017
21,EAHM-FL,0.3,42,0.3882,1.6346575496673583,"0,2,5",1.106799425734277,9.91635513305664,9.655952453613281e-05,0.011227130889892578,1.765081803003947,168128856.0,168128856.0,0.218367488,0.253,0.051,0.091,0.626,0.813,0.232,0.232,0.348,0.257,0.979
22,EAHM-FL,0.3,42,0.3642,1.7408924598693847,"2,0,5",0.8960284225050694,9.919977903366089,9.298324584960938e-05,0.010594844818115234,1.7661761442820232,176134992.0,176134992.0,0.218367488,0.225,0.944,0.208,0.891,0.557,0.134,0.387,0.133,0.16,0.003
23,EAHM-FL,0.3,42,0.3891,1.6033049179077148,"0,2,5",1.0077612122980657,9.941925525665283,0.00019073486328125,0.010013818740844727,1.7630184491475422,184141128.0,184141128.0,0.218367488,0.201,0.055,0.128,0.77,0.796,0.03,0.435,0.35,0.17,0.956
24,EAHM-FL,0.3,42,0.4165,1.6454363918304444,"2,5,0",0.8126265167813834,9.749361753463745,0.00012493133544921875,0.010736703872680664,1.741698424021403,192147264.0,192147264.0,0.218367488,0.278,0.955,0.306,0.754,0.738,0.26,0.427,0.294,0.133,0.02
25,EAHM-FL,0.3,42,0.42,1.4811436576843262,"0,5,2",0.7941037869065034,9.827564001083374,0.00017452239990234375,0.01050257682800293,1.7639329433441162,200153400.0,200153400.0,0.218367488,0.333,0.126,0.284,0.737,0.773,0.228,0.387,0.328,0.087,0.917
26,EAHM-FL,0.3,42,0.3934,1.5911693519592285,"2,5,0",0.7944738140029756,10.014590501785278,0.00015306472778320312,0.010229349136352539,1.779598871866862,208159536.0,208159536.0,0.218367488,0.279,0.958,0.257,0.817,0.766,0.03,0.297,0.378,0.051,0.101
27,EAHM-FL,0.3,42,0.4007,1.6298858924865722,"5,2,0",0.7504610087347433,10.046663284301758,0.00011873245239257812,0.010580778121948242,1.8077512582143147,216165672.0,216165672.0,0.218367488,0.279,0.11,0.152,0.828,0.719,0.135,0.299,0.465,0.057,0.963
28,EAHM-FL,0.3,42,0.4565,1.51457250289917,"4,2,0",1.118490735243834,12.644123554229736,0.0001862049102783203,0.010892391204833984,2.355954567591349,224171808.0,224171808.0,0.218367488,0.658,0.028,0.729,0.0,0.023,0.827,0.539,0.182,0.68,0.899
29,EAHM-FL,0.3,42,0.4927,1.374884291267395,"0,2,4",0.9771002010209341,12.437621116638184,0.000102996826171875,0.009999752044677734,2.318413416544596,232177944.0,232177944.0,0.218367488,0.345,0.132,0.21,0.005,0.6,0.781,0.896,0.25,0.778,0.93
30,EAHM-FL,0.3,42,0.5196,1.333954573059082,"0,4,2",0.8666572404008979,12.49363660812378,8.058547973632812e-05,0.010730266571044922,2.3302161693573,240184080.0,240184080.0,0.218367488,0.638,0.089,0.662,0.002,0.429,0.787,0.665,0.213,0.795,0.916
31,EAHM-FL,0.3,42,0.5242,1.278946187210083,"0,4,2",0.7122813307341351,12.454732656478882,0.00011229515075683594,0.010930299758911133,2.3018993536631265,248190216.0,248190216.0,0.218367488,0.493,0.33,0.179,0.01,0.642,0.843,0.818,0.232,0.754,0.941
32,EAHM-FL,0.3,42,0.3744,1.7417051303863524,"5,9,2",1.1541128260700646,12.00611162185669,9.465217590332031e-05,0.010950326919555664,2.2443158626556396,256196352.0,256196352.0,0.218367488,0.128,0.925,0.676,0.866,0.001,0.0,0.535,0.007,0.576,0.03
33,EAHM-FL,0.3,42,0.4174,1.7249142711639405,"3,5,2",0.8707455629387432,9.53926396369934,9.894371032714844e-05,0.010400533676147461,1.6993950208028157,264202488.0,264202488.0,0.218367488,0.501,0.995,0.101,0.542,0.777,0.001,0.777,0.0,0.45,0.03
34,EAHM-FL,0.3,42,0.4195,1.6764537929534913,"5,3,2",0.7536884268455154,9.49983263015747,8.678436279296875e-05,0.011523246765136719,1.6731202602386475,272208624.0,272208624.0,0.218367488,0.675,0.976,0.391,0.898,0.371,0.0,0.388,0.0,0.417,0.079
35,EAHM-FL,0.3,42,0.4367,1.680618328857422,"5,2,3",0.5609081356810801,9.5238196849823,9.655952453613281e-05,0.01024770736694336,1.6941922505696614,280214760.0,280214760.0,0.218367488,0.66,0.984,0.237,0.61,0.555,0.0,0.855,0.0,0.39,0.076
36,EAHM-FL,0.3,42,0.4531,1.5958328817367553,"5,3,2",0.6128259132288764,9.335919380187988,8.916854858398438e-05,0.009679079055786133,1.6644148031870525,288220896.0,288220896.0,0.218367488,0.673,0.979,0.386,0.784,0.481,0.0,0.667,0.0,0.41,0.151
37,EAHM-FL,0.3,42,0.3762,2.299821519088745,"2,1,3",0.6600481984308685,10.076983451843262,8.153915405273438e-05,0.010575056076049805,1.8019344806671143,296227032.0,296227032.0,0.218367488,0.748,0.922,0.003,0.001,0.764,0.0,0.949,0.0,0.22,0.155
38,EAHM-FL,0.3,42,0.4748,1.4220970878601074,"5,6,1",2.38757800252446,14.962847232818604,8.535385131835938e-05,0.011020183563232422,2.8690861066182456,304233168.0,304233168.0,0.218367488,0.685,0.796,0.32,0.106,0.0,0.889,0.833,0.706,0.144,0.269
39,EAHM-FL,0.3,42,0.5024,1.4303731132507325,"9,5,6",0.6769028954149215,15.858258962631226,0.00011491775512695312,0.010170698165893555,3.080131769180298,312239304.0,312239304.0,0.218367488,0.594,0.872,0.455,0.642,0.0,0.63,0.709,0.584,0.249,0.289
40,EAHM-FL,0.3,42,0.4998,1.4065259725570678,"0,6,5",0.6644542743557065,13.535938501358032,9.894371032714844e-05,0.010227441787719727,2.5631771087646484,320245440.0,320245440.0,0.218367488,0.617,0.68,0.322,0.148,0.0,0.895,0.683,0.816,0.152,0.685
41,EAHM-FL,0.3,42,0.4969,1.4318101596832276,"0,6,5",0.5798096893178073,13.610682010650635,0.0001270771026611328,0.010797262191772461,2.579730272293091,328251576.0,328251576.0,0.218367488,0.573,0.846,0.368,0.584,0.003,0.741,0.574,0.622,0.089,0.569
42,EAHM-FL,0.3,42,0.4848,1.407368843269348,"7,6,5",0.543325788979419,15.178203582763672,0.00010848045349121094,0.010440349578857422,2.939102570215861,336257712.0,336257712.0,0.218367488,0.649,0.894,0.482,0.072,0.0,0.809,0.942,0.714,0.149,0.137
43,EAHM-FL,0.3,42,0.5227,1.3560558866500854,"4,6,5",0.7844752413221645,16.736858367919922,9.560585021972656e-05,0.010188102722167969,3.2579705715179443,344263848.0,344263848.0,0.218367488,0.717,0.541,0.767,0.069,0.0,0.91,0.516,0.48,0.486,0.741
44,EAHM-FL,0.3,42,0.5599,1.2391182725906371,"4,6,5",0.7277053744611054,16.712627172470093,8.368492126464844e-05,0.010454893112182617,3.2480384508768716,352269984.0,352269984.0,0.218367488,0.771,0.494,0.618,0.146,0.0,0.913,0.672,0.56,0.64,0.785
45,EAHM-FL,0.3,42,0.5656,1.2132509662628175,"3,6,5",0.6815159706353174,13.282750844955444,8.082389831542969e-05,0.010160684585571289,2.4962445894877114,360276120.0,360276120.0,0.218367488,0.774,0.842,0.502,0.603,0.0,0.673,0.691,0.734,0.311,0.526
46,EAHM-FL,0.3,42,0.5417,1.242454160308838,"9,8,5",0.6733872109124631,14.814167737960815,0.00011587142944335938,0.009946584701538086,2.8327976862589517,368282256.0,368282256.0,0.218367488,0.212,0.649,0.614,0.524,0.104,0.731,0.492,0.293,0.887,0.911
