round,algorithm,alpha,seed,test_acc,test_loss,selected,mean_contribution,round_time_s,sel_time_s,agg_time_s,mean_client_train_s,cum_up_bytes,cum_down_bytes,peak_gpu_gb,class0_acc,class1_acc,class2_acc,class3_acc,class4_acc,class5_acc,class6_acc,class7_acc,class8_acc,class9_acc
1,FedAvg,0.5,43,0.1845,2.2135978965759278,"3,9,6",1.2148744763848782,16.176106929779053,0.00010943412780761719,0.008708953857421875,2.95111354192098,8006136.0,8006136.0,0.215689216,0.081,0.0,0.008,0.454,0.06,0.0,0.0,0.367,0.875,0.0
2,FedAvg,0.5,43,0.1932,2.3467486068725587,"8,5,1",0.9366037764101911,13.935094356536865,0.00017523765563964844,0.009008407592773438,2.6465988159179688,16012272.0,16012272.0,0.218367488,0.384,0.002,0.479,0.0,0.356,0.0,0.711,0.0,0.0,0.0
3,FedAvg,0.5,43,0.2594,1.9463967445373536,"8,7,1",1.1478909275995672,11.908008575439453,0.000110626220703125,0.008313655853271484,2.246211290359497,24018408.0,24018408.0,0.218367488,0.116,0.801,0.0,0.0,0.906,0.011,0.136,0.0,0.624,0.0
4,FedAvg,0.5,43,0.2042,2.166645894622803,"6,3,5",0.8083917143489572,14.194706678390503,0.00015211105346679688,0.00862884521484375,2.7316646575927734,32024544.0,32024544.0,0.218367488,0.741,0.055,0.845,0.0,0.0,0.0,0.401,0.0,0.0,0.0
5,FedAvg,0.5,43,0.2859,1.8918114532470702,"2,6,0",1.2169146014282026,13.258258581161499,0.00011277198791503906,0.008606910705566406,2.551591714223226,40030680.0,40030680.0,0.218367488,0.338,0.0,0.002,0.467,0.596,0.224,0.0,0.001,0.291,0.94
6,FedAvg,0.5,43,0.2104,2.127262844848633,"5,7,9",1.1590882128845177,16.410472869873047,0.00014972686767578125,0.008664608001708984,3.1578964392344155,48036816.0,48036816.0,0.218367488,0.03,0.141,0.288,0.318,0.814,0.0,0.003,0.028,0.231,0.251
7,FedAvg,0.5,43,0.3731,1.767976599884033,"6,4,1",1.189038323768444,13.395766735076904,0.00011324882507324219,0.008143186569213867,2.5604984760284424,56042952.0,56042952.0,0.218367488,0.567,0.455,0.0,0.006,0.418,0.587,0.797,0.111,0.79,0.0
8,FedAvg,0.5,43,0.3819,1.6220785140991212,"1,0,8",0.771154687147526,9.76504921913147,0.00011515617370605469,0.008505821228027344,1.7638874053955078,64049088.0,64049088.0,0.218367488,0.646,0.869,0.452,0.0,0.004,0.425,0.876,0.087,0.418,0.042
9,FedAvg,0.5,43,0.3352,1.8145081195831299,"2,7,0",0.914737805168341,12.165283918380737,0.0001747608184814453,0.00813603401184082,2.2788259983062744,72055224.0,72055224.0,0.218367488,0.063,0.015,0.001,0.072,0.728,0.78,0.109,0.146,0.569,0.869
10,FedAvg,0.5,43,0.395,1.643620784187317,"9,3,8",0.9647084205269665,12.457213640213013,0.00015664100646972656,0.008473873138427734,2.3616029421488443,80061360.0,80061360.0,0.218367488,0.328,0.349,0.686,0.45,0.0,0.0,0.059,0.656,0.831,0.591
11,FedAvg,0.5,43,0.3755,1.6818913848876953,"8,7,2",0.8618014416870946,13.107333898544312,0.00018477439880371094,0.009016036987304688,2.4937963485717773,88067496.0,88067496.0,0.218367488,0.108,0.312,0.0,0.636,0.717,0.343,0.005,0.21,0.535,0.889
12,FedAvg,0.5,43,0.3456,1.720610764694214,"8,2,0",0.5025211873962303,11.130170583724976,0.000152587890625,0.008589029312133789,2.0534303188323975,96073632.0,96073632.0,0.218367488,0.194,0.001,0.062,0.76,0.509,0.411,0.059,0.055,0.507,0.898
13,FedAvg,0.5,43,0.3689,1.7866090194702149,"6,5,8",1.0221956949535065,14.199741125106812,0.00019478797912597656,0.008428573608398438,2.767789602279663,104079768.0,104079768.0,0.218367488,0.789,0.376,0.19,0.349,0.625,0.0,0.824,0.0,0.003,0.533
14,FedAvg,0.5,43,0.4051,1.659658589744568,"3,1,7",1.1007134127647795,11.636881113052368,0.00010609626770019531,0.008349895477294922,2.188000758488973,112085904.0,112085904.0,0.218367488,0.057,0.895,0.114,0.0,0.301,0.915,0.729,0.279,0.733,0.028
15,FedAvg,0.5,43,0.3865,1.687798854446411,"6,5,8",0.8842205896000802,14.379974603652954,0.00011873245239257812,0.008184671401977539,2.7832322120666504,120092040.0,120092040.0,0.218367488,0.872,0.164,0.303,0.3,0.627,0.0,0.803,0.008,0.079,0.709
16,FedAvg,0.5,43,0.4939,1.5287076517105103,"8,9,5",0.7433761814260503,15.329999446868896,0.00016188621520996094,0.008344411849975586,3.0042027632395425,128098176.0,128098176.0,0.218367488,0.427,0.107,0.638,0.664,0.477,0.0,0.564,0.483,0.733,0.846
17,FedAvg,0.5,43,0.5284,1.3398601512908936,"4,0,6",0.6491258958248203,11.79879903793335,0.00010824203491210938,0.008512258529663086,2.179826498031616,136104312.0,136104312.0,0.218367488,0.693,0.627,0.108,0.058,0.479,0.68,0.909,0.56,0.77,0.4
18,FedAvg,0.5,43,0.4674,1.4450329582214356,"7,8,4",0.46624819814539836,11.996297836303711,0.00012636184692382812,0.008789300918579102,2.244441032409668,144110448.0,144110448.0,0.218367488,0.433,0.937,0.0,0.006,0.834,0.69,0.703,0.285,0.752,0.034
19,FedAvg,0.5,43,0.495,1.4199572059631347,"7,1,3",0.3860880683388784,11.591909170150757,0.00015401840209960938,0.00942540168762207,2.1721158822377524,152116584.0,152116584.0,0.218367488,0.175,0.898,0.32,0.0,0.313,0.904,0.713,0.54,0.875,0.212
20,FedAvg,0.5,43,0.4826,1.4327734413146973,"2,4,0",0.7250709708171484,12.420808792114258,0.00015783309936523438,0.008287906646728516,2.3354130585988364,160122720.0,160122720.0,0.218367488,0.321,0.035,0.076,0.316,0.578,0.843,0.602,0.356,0.787,0.912
21,FedAvg,0.5,43,0.4396,1.4820624982833863,"4,2,9",0.48595590727147037,16.05708909034729,0.0001552104949951172,0.00878453254699707,3.1251415411631265,168128856.0,168128856.0,0.218367488,0.25,0.224,0.037,0.887,0.626,0.0,0.001,0.664,0.871,0.836
