round,algorithm,alpha,seed,test_acc,test_loss,selected,mean_contribution,round_time_s,sel_time_s,agg_time_s,mean_client_train_s,cum_up_bytes,cum_down_bytes,peak_gpu_gb,class0_acc,class1_acc,class2_acc,class3_acc,class4_acc,class5_acc,class6_acc,class7_acc,class8_acc,class9_acc
1,FedDyn,0.1,46,0.1518,3.1664349674224854,"7,0,1",1.788278637382323,20.633313417434692,8.0108642578125e-05,0.00928807258605957,4.299203634262085,8006136.0,8006136.0,0.218405888,0.0,0.0,0.967,0.0,0.0,0.0,0.297,0.0,0.116,0.138
2,FedDyn,0.1,46,0.2093,3.6741015853881835,"1,6,5",3.0748914027579723,12.648122549057007,0.00022149085998535156,0.009307622909545898,2.460134426752726,16012272.0,16012272.0,0.22108416,0.306,0.0,0.0,0.0,0.0,0.984,0.0,0.0,0.793,0.01
3,FedDyn,0.1,46,0.1539,2.566943119430542,"3,1,8",2.700744888010627,14.231903553009033,0.0001533031463623047,0.00927591323852539,2.8264987468719482,24018408.0,24018408.0,0.22108416,0.468,0.0,0.0,0.0,0.991,0.0,0.0,0.0,0.08,0.0
4,FedDyn,0.1,46,0.2189,2.583501658248901,"3,2,7",1.6712668931494379,13.291855812072754,0.00015997886657714844,0.00914621353149414,2.630804936091105,32024544.0,32024544.0,0.22108416,0.666,0.52,0.0,0.0,0.928,0.0,0.054,0.021,0.0,0.0
5,FedDyn,0.1,46,0.1757,2.7391626483917237,"3,2,6",1.4860316719298172,15.531709909439087,0.00017380714416503906,0.011499643325805664,3.1443808873494468,40030680.0,40030680.0,0.22108416,0.707,0.0,0.0,0.0,0.028,0.979,0.0,0.0,0.043,0.0
6,FedDyn,0.1,46,0.2011,3.6449241409301756,"1,5,3",1.4006529625578992,10.916763067245483,0.00020384788513183594,0.009525775909423828,2.030235449473063,48036816.0,48036816.0,0.22108416,0.711,0.0,0.0,0.0,0.969,0.0,0.331,0.0,0.0,0.0
7,FedDyn,0.1,46,0.2135,2.1614439907073977,"4,6,9",3.2219713033079604,18.387476682662964,0.0001709461212158203,0.009177923202514648,3.7693360646565757,56042952.0,56042952.0,0.22108416,0.717,0.0,0.008,0.083,0.044,0.915,0.0,0.0,0.368,0.0
8,FedDyn,0.1,46,0.1707,2.7969529705047607,"8,1,7",2.088838406617835,13.905694484710693,0.00015473365783691406,0.00934743881225586,2.740816672643026,64049088.0,64049088.0,0.22108416,0.0,0.685,0.0,0.0,0.026,0.0,0.0,0.996,0.0,0.0
9,FedDyn,0.1,46,0.1795,2.761069617843628,"3,4,7",2.190746925100504,16.4697904586792,0.00020170211791992188,0.009293556213378906,3.3056742350260415,72055224.0,72055224.0,0.22108416,0.842,0.0,0.0,0.0,0.947,0.0,0.006,0.0,0.0,0.0
10,FedDyn,0.1,46,0.2094,2.4013242626190188,"1,8,9",2.0664814610957394,14.085874795913696,0.00016117095947265625,0.008920431137084961,2.7924858729044595,80061360.0,80061360.0,0.22108416,0.0,0.37,0.0,0.091,0.953,0.0,0.0,0.212,0.468,0.0
11,FedDyn,0.1,46,0.2968,2.2808387916564943,"9,0,6",1.939463659900639,25.920088291168213,0.0001704692840576172,0.009546995162963867,5.483680168787639,88067496.0,88067496.0,0.22108416,0.001,0.0,0.711,0.0,0.0,0.0,0.788,0.0,0.865,0.603
12,FedDyn,0.1,46,0.3035,3.3531337394714353,"0,2,3",1.139182991423097,20.20868706703186,0.00028014183044433594,0.015124320983886719,4.223426818847656,96073632.0,96073632.0,0.22108416,0.011,0.0,0.591,0.0,0.0,0.0,0.94,0.0,0.72,0.773
13,FedDyn,0.1,46,0.1945,3.427196131515503,"3,2,6",2.123482811707143,15.661418914794922,0.00020432472229003906,0.00935983657836914,3.163835604985555,104079768.0,104079768.0,0.22108416,0.918,0.0,0.0,0.0,0.001,0.932,0.065,0.0,0.0,0.029
14,FedDyn,0.1,46,0.2599,2.642794841384888,"1,6,7",2.7635740546043235,15.991075038909912,0.00017261505126953125,0.00918269157409668,3.195256471633911,112085904.0,112085904.0,0.22108416,0.236,0.817,0.0,0.0,0.0,0.989,0.0,0.0,0.499,0.058
15,FedDyn,0.1,46,0.2597,2.341000665283203,"9,0,6",2.1442120686507167,25.80482316017151,0.0002627372741699219,0.009854316711425781,5.3662238121032715,120092040.0,120092040.0,0.22108416,0.054,0.0,0.854,0.0,0.0,0.272,0.09,0.0,0.94,0.387
16,FedDyn,0.1,46,0.1738,2.6465971687316894,"8,9,1",2.385283322978292,14.338121891021729,0.0001628398895263672,0.01038503646850586,2.824045499165853,128098176.0,128098176.0,0.22108416,0.0,0.24,0.0,0.036,0.993,0.0,0.0,0.007,0.448,0.014
17,FedDyn,0.1,46,0.2244,2.343027694320679,"5,1,4",2.4088857066817146,10.036402702331543,0.00017571449279785156,0.009796142578125,1.8542624314626057,136104312.0,136104312.0,0.22108416,0.812,0.0,0.206,0.964,0.0,0.0,0.0,0.0,0.0,0.262
18,FedDyn,0.1,46,0.2428,3.0457854167938234,"6,8,4",1.753223033498375,18.188231706619263,0.00016880035400390625,0.009280681610107422,3.6722545623779297,144110448.0,144110448.0,0.22108416,0.536,0.0,0.0,0.0,0.0,0.977,0.0,0.0,0.915,0.0
19,FedDyn,0.1,46,0.3237,2.3861054958343506,"3,0,9",3.1432129461120457,24.209722995758057,0.0001900196075439453,0.009449005126953125,5.073842763900757,152116584.0,152116584.0,0.22108416,0.007,0.0,0.911,0.0,0.0,0.0,0.746,0.0,0.732,0.841
20,FedDyn,0.1,46,0.1642,3.628890188598633,"2,4,9",1.52219903582139,12.802242040634155,0.0001552104949951172,0.009492635726928711,2.5077172915140786,160122720.0,160122720.0,0.22108416,0.183,0.24,0.227,0.992,0.0,0.0,0.0,0.0,0.0,0.0
21,FedDyn,0.1,46,0.2205,2.039168356704712,"7,6,4",2.915374775051419,18.12266755104065,0.0002460479736328125,0.009125709533691406,3.7188289165496826,168128856.0,168128856.0,0.22108416,0.878,0.134,0.11,0.088,0.0,0.919,0.0,0.0,0.066,0.01
22,FedDyn,0.1,46,0.2659,4.497104437255859,"2,7,6",1.2991844832818107,15.099589586257935,0.0002155303955078125,0.008887529373168945,3.0310422579447427,176134992.0,176134992.0,0.22108416,0.483,0.291,0.0,0.0,0.0,0.993,0.0,0.0,0.891,0.001
23,FedDyn,0.1,46,0.2058,2.579362886047363,"5,4,1",3.6685175070428038,10.021631479263306,0.00022721290588378906,0.010808706283569336,1.8809839089711506,184141128.0,184141128.0,0.22108416,0.825,0.0,0.271,0.96,0.0,0.0,0.0,0.0,0.0,0.002
24,FedDyn,0.1,46,0.2158,3.293605587005615,"7,4,8",2.002040680729261,16.058244705200195,0.0002319812774658203,0.009853363037109375,3.255265951156616,192147264.0,192147264.0,0.22108416,0.335,0.799,0.023,0.003,0.0,0.0,0.0,0.992,0.006,0.0
25,FedDyn,0.1,46,0.1915,5.362130136108399,"5,2,7",1.3617743886567049,9.781517267227173,0.00015616416931152344,0.009000778198242188,1.8342515627543132,200153400.0,200153400.0,0.22108416,0.0,0.993,0.0,0.0,0.0,0.0,0.0,0.922,0.0,0.0
26,FedDyn,0.1,46,0.2125,4.131712377929688,"6,4,1",6.3513644823538264,15.531734704971313,0.00022864341735839844,0.009410381317138672,3.1206554571787515,208159536.0,208159536.0,0.22108416,0.837,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.298,0.0
27,FedDyn,0.1,46,0.3086,2.580152433013916,"4,2,8",3.457919754648008,12.42956256866455,0.00017786026000976562,0.00932002067565918,2.3867077827453613,216165672.0,216165672.0,0.22108416,0.797,0.0,0.326,0.631,0.0,0.0,0.0,0.779,0.553,0.0
28,FedDyn,0.1,46,0.1949,2.6647573322296143,"3,1,7",3.070996439477556,14.372804641723633,0.00024271011352539062,0.009266376495361328,2.803905407587687,224171808.0,224171808.0,0.22108416,0.159,0.812,0.0,0.0,0.977,0.001,0.0,0.0,0.0,0.0
29,FedDyn,0.1,46,0.2104,3.048391269683838,"5,1,3",1.6407663956793135,10.912319421768188,0.0002562999725341797,0.009267330169677734,2.0589450200398765,232177944.0,232177944.0,0.22108416,0.745,0.0,0.0,0.0,0.979,0.0,0.38,0.0,0.0,0.0
30,FedDyn,0.1,46,0.3094,2.4756390560150145,"7,2,0",2.697097754887309,20.00137710571289,0.00020956993103027344,0.009868621826171875,4.054925600687663,240184080.0,240184080.0,0.22108416,0.002,0.03,0.888,0.0,0.0,0.0,0.752,0.0,0.489,0.933
31,FedDyn,0.1,46,0.1411,2.548606084060669,"1,3,9",2.912114901136627,14.78874397277832,0.00015974044799804688,0.009749650955200195,2.954303741455078,248190216.0,248190216.0,0.22108416,0.254,0.155,0.0,0.0,0.999,0.0,0.003,0.0,0.0,0.0
32,FedDyn,0.1,46,0.2359,3.446815345001221,"3,4,9",1.2094454071725247,16.979743480682373,0.00015854835510253906,0.010007381439208984,3.4041484196980796,256196352.0,256196352.0,0.22108416,0.775,0.0,0.0,0.842,0.742,0.0,0.0,0.0,0.0,0.0
33,FedDyn,0.1,46,0.3436,2.375550816345215,"0,6,3",3.3110001795956023,25.863181829452515,0.0001678466796875,0.009247779846191406,5.468317747116089,264202488.0,264202488.0,0.22108416,0.481,0.0,0.503,0.0,0.0,0.0,0.957,0.0,0.825,0.67
34,FedDyn,0.1,46,0.2602,2.338377397918701,"5,1,8",3.0244587826715246,10.54561734199524,0.00022459030151367188,0.008894681930541992,1.9451358318328857,272208624.0,272208624.0,0.22108416,0.0,0.0,0.0,0.0,0.486,0.005,0.003,0.938,0.894,0.276
35,FedDyn,0.1,46,0.3421,3.474688111114502,"1,8,0",1.5220285244608887,20.42576789855957,0.00017642974853515625,0.008966684341430664,4.2006386915842695,280214760.0,280214760.0,0.22108416,0.0,0.0,0.881,0.0,0.0,0.0,0.764,0.0,0.9,0.876
36,FedDyn,0.1,46,0.2369,2.2925930198669433,"5,7,4",4.789489683487742,12.584821462631226,0.00018835067749023438,0.009741544723510742,2.42995548248291,288220896.0,288220896.0,0.22108416,0.0,0.93,0.464,0.0,0.0,0.0,0.0,0.922,0.053,0.0
37,FedDyn,0.1,46,0.2825,3.657257984161377,"9,0,8",1.452528396203526,23.46003031730652,0.0002548694610595703,0.009554862976074219,4.8748884201049805,296227032.0,296227032.0,0.22108416,0.0,0.0,0.979,0.0,0.0,0.0,0.166,0.0,0.805,0.875
38,FedDyn,0.1,46,0.2414,2.448157020950317,"8,6,4",4.102203018815021,18.118704080581665,0.00014901161193847656,0.00919485092163086,3.724680185317993,304233168.0,304233168.0,0.22108416,0.358,0.0,0.108,0.0,0.0,0.944,0.0,0.036,0.968,0.0
39,FedDyn,0.1,46,0.1198,2.8738018409729005,"4,7,8",2.8922192509127096,16.034698247909546,0.00020241737365722656,0.011025428771972656,3.2090983390808105,312239304.0,312239304.0,0.22108416,0.0,0.064,0.0,0.0,0.0,0.0,0.0,1.0,0.134,0.0
