round,algorithm,alpha,seed,test_acc,test_loss,selected,mean_contribution,round_time_s,sel_time_s,agg_time_s,mean_client_train_s,cum_up_bytes,cum_down_bytes,peak_gpu_gb,class0_acc,class1_acc,class2_acc,class3_acc,class4_acc,class5_acc,class6_acc,class7_acc,class8_acc,class9_acc
1,FedNova,1.0,43,0.1008,2.3578196754455565,"3,9,6",0.6856521939652801,12.790694236755371,8.320808410644531e-05,0.008472681045532227,2.3694010575612388,8006136.0,8006136.0,0.215689216,0.0,0.002,0.0,0.006,0.978,0.0,0.0,0.018,0.0,0.004
2,FedNova,1.0,43,0.2481,1.9858539352416993,"8,5,1",0.8016234532765442,13.368584871292114,0.00012826919555664062,0.008831501007080078,2.561522642771403,16012272.0,16012272.0,0.218367488,0.0,0.0,0.038,0.018,0.005,0.73,0.698,0.167,0.756,0.069
3,FedNova,1.0,43,0.3244,1.8024692806243896,"8,7,1",0.4328175479259751,15.877098321914673,0.00016570091247558594,0.00867605209350586,3.056827704111735,24018408.0,24018408.0,0.218367488,0.62,0.156,0.385,0.047,0.0,0.707,0.481,0.472,0.231,0.145
4,FedNova,1.0,43,0.3333,1.7491990550994874,"6,3,5",0.48028983639677064,11.991231441497803,0.00011301040649414062,0.0087890625,2.23774782816569,32024544.0,32024544.0,0.218367488,0.039,0.214,0.44,0.844,0.042,0.0,0.039,0.491,0.797,0.427
5,FedNova,1.0,43,0.3461,1.7371412313461303,"2,6,0",0.5333852526338414,12.030662298202515,0.00011587142944335938,0.008895397186279297,2.217740456263224,40030680.0,40030680.0,0.218367488,0.64,0.589,0.335,0.027,0.682,0.455,0.235,0.243,0.0,0.255
6,FedNova,1.0,43,0.4229,1.6114907592773438,"5,7,9",0.6830768653797777,18.53288507461548,0.00016736984252929688,0.008422374725341797,3.6424126625061035,48036816.0,48036816.0,0.218367488,0.262,0.475,0.54,0.001,0.0,0.638,0.611,0.572,0.876,0.254
7,FedNova,1.0,43,0.4146,1.5368757308959962,"6,4,1",0.4907680978228539,10.33897852897644,0.00012731552124023438,0.0089569091796875,1.8459142843882244,56042952.0,56042952.0,0.218367488,0.767,0.392,0.355,0.698,0.231,0.053,0.488,0.57,0.0,0.592
8,FedNova,1.0,43,0.439,1.4637198665618896,"1,0,8",0.22029062459432147,12.85805058479309,0.0001354217529296875,0.008841276168823242,2.4377387364705405,64049088.0,64049088.0,0.218367488,0.714,0.538,0.146,0.199,0.391,0.794,0.452,0.349,0.095,0.712
9,FedNova,1.0,43,0.4341,1.4679299407958983,"2,7,0",0.43341166311756063,17.12188982963562,0.00011277198791503906,0.009305715560913086,3.3441375891367593,72055224.0,72055224.0,0.218367488,0.631,0.882,0.632,0.078,0.0,0.536,0.768,0.478,0.242,0.094
10,FedNova,1.0,43,0.4671,1.3961211517333985,"9,3,8",0.47847619846405154,14.790717124938965,0.00012803077697753906,0.009026765823364258,2.803481181462606,80061360.0,80061360.0,0.218367488,0.207,0.36,0.04,0.005,0.593,0.838,0.53,0.551,0.792,0.755
