round,algorithm,alpha,seed,test_acc,test_loss,selected,mean_contribution,round_time_s,sel_time_s,agg_time_s,mean_client_train_s,cum_up_bytes,cum_down_bytes,peak_gpu_gb,class0_acc,class1_acc,class2_acc,class3_acc,class4_acc,class5_acc,class6_acc,class7_acc,class8_acc,class9_acc
1,FedProx,0.3,43,0.2302,2.1987873569488525,"3,9,6",1.455560984792087,20.438822984695435,7.152557373046875e-05,0.008710384368896484,4.163353602091472,8006136.0,8006136.0,0.215732224,0.622,0.013,0.0,0.78,0.0,0.025,0.0,0.5,0.362,0.0
2,FedProx,0.3,43,0.2034,2.3987486267089846,"8,5,1",1.1720853781268328,10.370300054550171,0.000164031982421875,0.008651018142700195,1.8920165697733562,16012272.0,16012272.0,0.218410496,0.844,0.011,0.0,0.0,0.898,0.0,0.115,0.0,0.0,0.166
3,FedProx,0.3,43,0.2371,2.342598533630371,"8,7,1",1.623780757531326,11.495872259140015,0.00016617774963378906,0.008933544158935547,2.1452139218648276,24018408.0,24018408.0,0.218410496,0.0,0.0,0.005,0.0,0.948,0.0,0.0,0.01,0.566,0.842
4,FedProx,0.3,43,0.296,1.9036252159118652,"6,3,5",1.483319772752103,15.311132192611694,0.00011992454528808594,0.00897216796875,2.972942352294922,32024544.0,32024544.0,0.218410496,0.716,0.003,0.446,0.0,0.454,0.002,0.56,0.002,0.0,0.777
5,FedProx,0.3,43,0.2698,2.161158316040039,"2,6,0",1.178826104593273,13.974322080612183,0.00013709068298339844,0.008907794952392578,2.689279476801554,40030680.0,40030680.0,0.218410496,0.0,0.647,0.0,0.107,0.0,0.096,0.979,0.0,0.566,0.303
6,FedProx,0.3,43,0.3304,1.9117435590744019,"5,7,9",1.5351398170287123,23.324206829071045,0.0001125335693359375,0.008910179138183594,4.802048444747925,48036816.0,48036816.0,0.218410496,0.774,0.434,0.0,0.243,0.793,0.0,0.002,0.485,0.449,0.124
7,FedProx,0.3,43,0.3416,1.749470812034607,"6,4,1",1.2827066232011053,10.357941389083862,0.00013494491577148438,0.008696317672729492,1.9095460573832195,56042952.0,56042952.0,0.218410496,0.021,0.922,0.051,0.003,0.735,0.759,0.266,0.061,0.562,0.036
8,FedProx,0.3,43,0.3041,2.1273753295898437,"1,0,8",0.7389542346200746,8.555938959121704,0.00011920928955078125,0.009115457534790039,1.5001393953959148,64049088.0,64049088.0,0.218410496,0.0,0.949,0.421,0.0,0.0,0.309,0.936,0.078,0.348,0.0
9,FedProx,0.3,43,0.3545,1.8386559196472168,"2,7,0",1.2104144648286599,16.43378186225891,0.00010585784912109375,0.009034872055053711,3.232444683710734,72055224.0,72055224.0,0.218410496,0.0,0.0,0.0,0.031,0.827,0.431,0.458,0.189,0.895,0.714
10,FedProx,0.3,43,0.3776,1.787042660522461,"9,3,8",1.4427625707545946,19.03031086921692,0.00011348724365234375,0.008953332901000977,3.8282601833343506,80061360.0,80061360.0,0.218410496,0.696,0.812,0.021,0.544,0.16,0.221,0.009,0.838,0.474,0.001
11,FedProx,0.3,43,0.3421,1.9413110191345215,"8,7,2",1.3423570065331305,15.509213209152222,0.00017452239990234375,0.00914764404296875,2.988630930582682,88067496.0,88067496.0,0.218410496,0.001,0.0,0.0,0.22,0.831,0.01,0.428,0.145,0.896,0.89
12,FedProx,0.3,43,0.3559,1.7779993698120118,"8,2,0",1.4388569638322377,12.501753807067871,0.00013136863708496094,0.009226560592651367,2.3525452613830566,96073632.0,96073632.0,0.218410496,0.003,0.899,0.0,0.248,0.039,0.669,0.894,0.131,0.633,0.043
13,FedProx,0.3,43,0.38,1.7624160285949706,"6,5,8",1.1361226605911243,13.315496444702148,0.00017833709716796875,0.009387969970703125,2.5209497610727944,104079768.0,104079768.0,0.218410496,0.573,0.385,0.0,0.107,0.84,0.0,0.722,0.0,0.33,0.843
14,FedProx,0.3,43,0.3316,1.9382432189941405,"3,1,7",1.3667221154556648,14.918508768081665,0.00019550323486328125,0.0091552734375,2.903081178665161,112085904.0,112085904.0,0.218410496,0.128,0.0,0.936,0.0,0.001,0.185,0.025,0.541,0.573,0.927
15,FedProx,0.3,43,0.4323,1.734173529434204,"6,5,8",1.393318723256835,12.59270715713501,0.0001251697540283203,0.009344100952148438,2.406297286351522,120092040.0,120092040.0,0.218410496,0.564,0.52,0.0,0.413,0.696,0.0,0.888,0.0,0.388,0.854
16,FedProx,0.3,43,0.4208,1.7917153999328612,"8,9,5",1.1258134688577137,19.170220851898193,0.00015735626220703125,0.009001493453979492,3.8449745178222656,128098176.0,128098176.0,0.218410496,0.823,0.915,0.0,0.835,0.388,0.0,0.178,0.603,0.457,0.009
17,FedProx,0.3,43,0.4049,1.8381748891830445,"4,0,6",0.995134546843912,11.945856094360352,0.00011563301086425781,0.009941816329956055,2.2474934260050454,136104312.0,136104312.0,0.218410496,0.01,0.975,0.052,0.004,0.417,0.647,0.935,0.558,0.441,0.01
