round,algorithm,alpha,seed,test_acc,test_loss,selected,mean_contribution,round_time_s,sel_time_s,agg_time_s,mean_client_train_s,cum_up_bytes,cum_down_bytes,peak_gpu_gb,class0_acc,class1_acc,class2_acc,class3_acc,class4_acc,class5_acc,class6_acc,class7_acc,class8_acc,class9_acc
1,SCAFFOLD,0.5,43,0.1845,2.2135978965759278,"3,9,6",1.2148744763848782,14.978564262390137,8.988380432128906e-05,0.020009279251098633,2.880734999974569,16012272.0,16012272.0,0.223731712,0.081,0.0,0.008,0.454,0.06,0.0,0.0,0.367,0.875,0.0
2,SCAFFOLD,0.5,43,0.1494,2.161328227996826,"8,5,1",0.9713256530477651,14.157571792602539,0.00021982192993164062,0.018582582473754883,2.70469077428182,32024544.0,32024544.0,0.226409984,0.277,0.0,0.289,0.0,0.016,0.0,0.868,0.0,0.044,0.0
3,SCAFFOLD,0.5,43,0.1,2.3517005310058594,"8,7,1",0.5418803507961567,12.23903775215149,0.0001709461212158203,0.01991581916809082,2.3150105476379395,48036816.0,48036816.0,0.226409984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4,SCAFFOLD,0.5,43,0.1,5.891961416625977,"6,3,5",0.15694969856637764,15.269795656204224,0.00016617774963378906,0.020596027374267578,2.9315460522969565,64049088.0,64049088.0,0.226409984,0.0,0.001,0.997,0.0,0.0,0.0,0.0,0.0,0.0,0.002
5,SCAFFOLD,0.5,43,0.1014,2.6475772968292235,"2,6,0",3.2166138705258462,13.801186084747314,0.00017023086547851562,0.01728057861328125,2.64975372950236,80061360.0,80061360.0,0.226409984,0.0,0.0,0.0,0.0,0.989,0.0,0.0,0.025,0.0,0.0
6,SCAFFOLD,0.5,43,0.1005,2.90780493812561,"5,7,9",-1.2968004822993189,17.475326538085938,0.0001881122589111328,0.018540620803833008,3.41428804397583,96073632.0,96073632.0,0.226409984,0.0,0.0,0.959,0.0,0.046,0.0,0.0,0.0,0.0,0.0
7,SCAFFOLD,0.5,43,0.1305,2.9652523807525633,"6,4,1",1.5564865140568098,14.085676908493042,0.00016951560974121094,0.018532276153564453,2.6931370894114175,112085904.0,112085904.0,0.226409984,0.0,0.0,0.0,0.0,0.957,0.0,0.0,0.024,0.324,0.0
8,SCAFFOLD,0.5,43,0.0999,3.0088123085021974,"1,0,8",1.0911399435899793,10.596327781677246,0.00019097328186035156,0.018300533294677734,1.9404975573221843,128098176.0,128098176.0,0.226409984,0.0,0.0,0.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,SCAFFOLD,0.5,43,0.1329,2.9237955207824706,"2,7,0",1.5853916823423724,13.245580673217773,0.0002307891845703125,0.027387142181396484,2.5254712104797363,144110448.0,144110448.0,0.226409984,0.0,0.0,0.0,0.0,0.794,0.402,0.0,0.0,0.0,0.133
10,SCAFFOLD,0.5,43,0.1001,2.7908003814697264,"9,3,8",0.7517826951821703,13.49761176109314,0.00017905235290527344,0.01906728744506836,2.5673038164774575,160122720.0,160122720.0,0.226409984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.001,0.0
