algorithm,alpha,final_acc_mean,final_acc_std,final_acc_n,cum_up_gb,cum_down_gb,round_time_s,peak_gpu_gb
EAHM-FL,0.1,0.37333999999999995,0.10705046940579006,5,0.4003068,0.4003068,11.210824489593506,0.218367488
EAHM-FL,0.3,0.5803200000000001,0.0748806183200967,5,0.4003068,0.4003068,10.928656721115113,0.218367488
EAHM-FL,0.5,0.6410666666666667,0.021273065912870513,3,0.4003068,0.4003068,13.504854758580526,0.21836748800000003
EAHM-FL,1.0,0.7237333333333332,0.024827874120297428,3,0.4003068,0.4003068,13.437063058217367,0.21836748800000003
EAHM-FL-no_selection,0.1,0.37560000000000004,0.13952066155233067,5,0.4003068,0.4003068,12.094471788406372,0.218367488
EAHM-FL-no_selection,0.3,0.5827,0.054505641909805995,5,0.4003068,0.4003068,12.474025058746339,0.218367488
EAHM-FL-no_selection,0.5,0.6537666666666667,0.039252048778800536,3,0.4003068,0.4003068,12.43866523106893,0.21836748800000003
EAHM-FL-no_selection,1.0,0.7312333333333333,0.02215047027341256,3,0.4003068,0.4003068,13.322364250818888,0.21836748800000003
EAHM-FL-no_weighting,0.1,0.39204000000000006,0.10683575244270993,5,0.4003068,0.4003068,12.728838586807251,0.218367488
EAHM-FL-no_weighting,0.3,0.57758,0.044547693542988286,5,0.4003068,0.4003068,16.068447732925414,0.218367488
EAHM-FL-no_weighting,0.5,0.6432666666666668,0.05715875552645748,3,0.4003068,0.4003068,14.224713484446207,0.21836748800000003
EAHM-FL-no_weighting,1.0,0.7342333333333334,0.020100082918568567,3,0.4003068,0.4003068,13.129762252171835,0.21836748800000003
FedAvg,0.1,0.3754,0.12214638758473374,5,0.4003068,0.4003068,11.933093595504761,0.218367488
FedAvg,0.3,0.58356,0.05744495626249532,5,0.4003068,0.4003068,13.28272204399109,0.218367488
FedAvg,0.5,0.6763333333333333,0.04446080671033012,3,0.4003068,0.4003068,14.177216053009033,0.21836748800000003
FedAvg,1.0,0.7333666666666666,0.020789500555168056,3,0.4003068,0.4003068,13.281073411305746,0.21836748800000003
FedDyn,0.1,0.10973999999999999,0.01585269693143725,5,0.4003068,0.4003068,13.405131149291993,0.22108416000000003
FedDyn,0.3,0.30894,0.0641397926407624,5,0.4003068,0.4003068,13.870045375823974,0.22108416000000003
FedDyn,0.5,0.41896666666666665,0.02272010856781572,3,0.4003068,0.4003068,13.951399564743042,0.22108416
FedDyn,1.0,0.6124333333333333,0.05370962049142906,3,0.4003068,0.4003068,14.364134788513184,0.22108416
FedNova,0.1,0.3895,0.07764946876830515,5,0.4003068,0.4003068,12.079585933685303,0.218367488
FedNova,0.3,0.57858,0.04229399484560424,5,0.4003068,0.4003068,13.171944189071656,0.218367488
FedNova,0.5,0.6649333333333333,0.04289642564752141,3,0.4003068,0.4003068,11.661475737889608,0.21836748800000003
FedNova,1.0,0.7292666666666667,0.023848340263702517,3,0.4003068,0.4003068,13.260369221369425,0.21836748800000003
FedProx,0.1,0.39712000000000003,0.1177435008822143,5,0.4003068,0.4003068,12.492445468902588,0.218410496
FedProx,0.3,0.5896399999999999,0.05299068786117043,5,0.4003068,0.4003068,13.927897071838379,0.218410496
FedProx,0.5,0.6604333333333333,0.03207512016085568,3,0.4003068,0.4003068,12.54174534479777,0.21841049600000004
FedProx,1.0,0.7297666666666668,0.02099341166493276,3,0.4003068,0.4003068,14.006679693857828,0.21841049600000004
SCAFFOLD,0.1,0.1,0.0,5,0.8006136,0.8006136,12.30017647743225,0.226409984
SCAFFOLD,0.3,0.09828,0.005673799432479083,5,0.8006136,0.8006136,13.166260290145875,0.226409984
SCAFFOLD,0.5,0.10049999999999999,0.0008660254037844393,3,0.8006136,0.8006136,12.746283213297525,0.226409984
SCAFFOLD,1.0,0.11063333333333332,0.030951628928593287,3,0.8006136,0.8006136,13.40863593419393,0.226409984
